District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Yau Tsim Mong,57 Pilkem Street,,4757
Tsuen Wan,"Block 3, Lei Muk Shue Estate",,4758
Kwun Tong,"Kui Tai House, On Tai Estate",,4759
Eastern,Tai Ning House,,4760
Sai Kung,"Sheung Lai House, Sheung Tak Estate",,4761
Sai Kung,"Sheung Lai House, Sheung Tak Estate",,4762
Sai Kung,"Sheung Lai House, Sheung Tak Estate",,4763
Kwun Tong,"Choi Chun House, Choi Tak Estate",,4764
Wong Tai Sin,"Mei Yan House, Mei Tung Estate",,4767
Kowloon City,"Shun Man House, Oi Man Estate",,4769
Kowloon City,Tung Hing Building,,4770
Kwun Tong,"Choi Chun House, Choi Tak Estate",,4771
Yuen Long,"Tower 5, The Parcville",,4772
Yuen Long,"Tower 5, The Parcville",,4773
Yuen Long,Tung Shing Lei,,4773
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",,4774
Yau Tsim Mong,The Luxe Manor,,4775
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",,4776
Eastern,"Block 5, Aldrich Garden",,4777
Kwai Tsing,"Shing Hing House, Kwai Shing East Estate",,4778
Kowloon City,"Block B, I-Feng Mansion",,4779
Tsuen Wan,"Block 3, Lei Muk Shue Estate",,4780
Yuen Long,"Tower 5, The Parcville",,4781
Kwun Tong,"Block I, Amoy Gardens",,4783
Kwun Tong,"On Chung House, Shun On Estate",,4784
Kwun Tong,"Kwai Leung House,Lower Ngau Tau Kok Estate",,4785
Kwai Tsing,Win Fong Heights,,4786
Tsuen Wan,"Block 6, Phase 3, Belvedere Garden",,4786
Sha Tin,"Tower 3, Phase 2, Festival City",,4787
Tuen Mun,"Block 3, Tsui Ning Garden",,4788
Tsuen Wan,"Block 3, Lei Muk Shue Estate",,4789
Sham Shui Po,"Un Yat House, Un Chau Estate",,4790
Yuen Long,Shung Ching San Tsuen,,4791
