District,Building name,lat,long
Yau Tsim Mong,57 Pilkem Street,22.3047452,114.1709853
Tsuen Wan,"Block 3, Lei Muk Shue Estate",22.3790547,114.1357478
Kwun Tong,"Kui Tai House, On Tai Estate",22.328484,114.228749
Eastern,Tai Ning House,22.2844727,114.148464
Sai Kung,"Sheung Lai House, Sheung Tak Estate",22.3117204,114.2610697
Sai Kung,"Sheung Lai House, Sheung Tak Estate",22.3117204,114.2610697
Sai Kung,"Sheung Lai House, Sheung Tak Estate",22.3117204,114.2610697
Kwun Tong,"Choi Chun House, Choi Tak Estate",22.3307443,114.2142979
Wong Tai Sin,"Mei Yan House, Mei Tung Estate",22.333203,114.187448
Kowloon City,"Shun Man House, Oi Man Estate",22.3105791,114.1789787
Kowloon City,Tung Hing Building,22.3162903,114.1900322
Kwun Tong,"Choi Chun House, Choi Tak Estate",22.3307443,114.2142979
Yuen Long,"Tower 5, The Parcville",22.4413222,114.0372787
Yuen Long,"Tower 5, The Parcville",22.4413222,114.0372787
Yuen Long,Tung Shing Lei,22.4463437,114.0444945
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",22.3207321,114.2153195
Yau Tsim Mong,The Luxe Manor,22.3008333,114.1738889
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",22.3207321,114.2153195
Eastern,"Block 5, Aldrich Garden",22.2810547,114.228604
Kwai Tsing,"Shing Hing House, Kwai Shing East Estate",22.3644772,114.1269103
Kowloon City,"Block B, I-Feng Mansion",22.31539,114.189744
Tsuen Wan,"Block 3, Lei Muk Shue Estate",22.3790547,114.1357478
Yuen Long,"Tower 5, The Parcville",22.4413222,114.0372787
Kwun Tong,"Block I, Amoy Gardens",22.325129,114.217078
Kwun Tong,"On Chung House, Shun On Estate",22.329293,114.226334
Kwun Tong,"Kwai Leung House,Lower Ngau Tau Kok Estate",22.3220691,114.2151338
Kwai Tsing,Win Fong Heights,22.3597098,114.1280036
Tsuen Wan,"Block 6, Phase 3, Belvedere Garden",22.3718424,114.1023396
Sha Tin,"Tower 3, Phase 2, Festival City",22.368988,114.175093
Tuen Mun,"Block 3, Tsui Ning Garden",22.3842177,113.9737894
Tsuen Wan,"Block 3, Lei Muk Shue Estate",22.3790547,114.1357478
Sham Shui Po,"Un Yat House, Un Chau Estate",22.3366667,114.1561111
Yuen Long,Shung Ching San Tsuen,22.429286,114.0287953
Tsuen Wan,"Block 3, Lei Muk Shue Estate",22.3790547,114.1357478
Sham Shui Po,"Tower 1, Heya Green",22.3368119,114.1605401
Yuen Long,"Block 16, Sereno Verde",22.436925,114.031184
Kwun Tong,Chuen Yuen Road East,22.3097308,114.2298172
Southern,Stanley Main Street,22.2186923,114.2107454
Tsuen Wan,"Block 3, Lei Muk Shue Estate",22.3790547,114.1357478
Islands,Regal Airport Hotel,22.318835,113.934283
Tsuen Wan,"Block 3, Lei Muk Shue Estate",22.3790547,114.1357478
Yuen Long,Tai Kei Leng,22.4384818,114.0282848
Yuen Long,"Tower 5, The Parcville",22.4413222,114.0372787
Tsuen Wan,"Chung Sum Lau, Moon Lok Dai Ha",22.372796,114.112202
Yuen Long,"Tower 5, The Parcville",22.4413222,114.0372787
Yuen Long,"Tower 5, The Parcville",22.4413222,114.0372787
Yau Tsim Mong,"Front Block, Man Yuen Building",22.3075815,114.1668799
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",22.3207321,114.2153195
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",22.3207321,114.2153195
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",22.3207321,114.2153195
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",22.3207321,114.2153195
Tsuen Wan,"Chung Sum Lau, Moon Lok Dai Ha",22.372796,114.112202
Yuen Long,Shui Tsiu San Tsuen,22.425215,114.027778
Yuen Long,"Block 16, Sereno Verde",22.436925,114.031184
Tuen Mun,"Block 3, Tsui Ning Garden",22.3842177,113.9737894
Tuen Mun,"Block 3, Tsui Ning Garden",22.3842177,113.9737894
Yau Tsim Mong,Ramada Hong Kong Grand,22.291011,114.1974065
Eastern,Ramada Hong Kong Grand View,22.291011,114.1974065
Sha Tin,"Ka Yin House, Ka Tin Court",22.360654,114.172955
Tsuen Wan,Fu Yung House,22.3719941,114.1105151
Tsuen Wan,"Chung Shue House, Lei Muk Shue Estate",22.3793093,114.1358999
Yau Tsim Mong,Metropark Hotel Mongkok,22.323359,114.1675774
Wan Chai,Whitfield Mansion,22.2860789,114.1908682
Yau Tsim Mong,Metropark Hotel Mongkok,22.323359,114.1675774
Tsuen Wan,"Block 3, Lei Muk Shue Estate",22.3790547,114.1357478
Tsuen Wan,"Block 3, Lei Muk Shue Estate",22.3790547,114.1357478
Kwun Tong,"Sau Wong House, Sau Mau Ping South Estate",22.3165021,114.2343596
Kowloon City,"Shun Man House, Oi Man Estate",22.3105791,114.1789787
Yuen Long,Shui Tsiu San Tsuen,22.425215,114.027778
Sham Shui Po,"Block 22, Shek Kip Mei Estate",22.3326202,114.1674065
Wong Tai Sin,"Kwai Yuen House, Chuk Yuen South Estate",22.3439204,114.190636
Kwai Tsing,Wah Fung Garden,22.3565945,114.1247732
Tuen Mun,"Siu Kin House, Siu Hong Court",22.4109791,113.9770884
Yau Tsim Mong,Ramada Hong Kong Grand,22.291011,114.1974065
Kowloon City,10A Victory Avenue,22.318715,114.1749381
Kowloon City,"Shun Man House, Oi Man Estate",22.3105791,114.1789787
Eastern,"Hiu Fung House, Fung Wah Estate",22.260306,114.231132
Yau Tsim Mong,Metropark Hotel Mongkok,22.323359,114.1675774
Yau Tsim Mong,Ramada Hong Kong Grand,22.291011,114.1974065
Yau Tsim Mong,Ramada Hong Kong Grand,22.291011,114.1974065
Kwai Tsing,"Silka Tsuen Wan, Hong Kong",22.3691614,114.1389799
Yau Tsim Mong,Yu Hing Mansion,22.3050598,114.1702936
North,"Wah Min House, Wah Sum Estate",22.4857642,114.1432929
Yau Tsim Mong,Metropark Hotel Mongkok,22.323359,114.1675774
Wong Tai Sin,"Suet Fung House, Fung Tak Estate",22.344648,114.200004
North,"Wah Min House, Wah Sum Estate",22.4857642,114.1432929
Kowloon City,Chi Lan Yuen,22.3268859,114.1883603
Southern,Pok Fu Lam Village,22.260147,114.136859
Sai Kung,"Wo Yat House, Wo Ming Court",22.3153246,114.2665863
Yuen Long,Tai Tseng Wai,22.4628391,114.0209205
Islands,Hong Kong SkyCity Marriott Hotel,22.319077,113.9437259
Yau Tsim Mong,"Tower 3, June Garden",22.3240692,114.1639306
Wong Tai Sin,"Kwai Yuen House, Chuk Yuen (South) Estate",22.3439204,114.190636
Kwai Tsing,Wah Fung Garden,22.3565945,114.1247732
Kwai Tsing,Wah Fung Garden,22.3565945,114.1247732
Islands,Hong Kong SkyCity Marriott Hotel,22.319077,113.9437259
Islands,"Mun Hong House, Mun Tung Estate",22.27648,113.9329204
Yau Tsim Mong,"Tower 1, The Victoria Towers",22.3020792,114.1683197
Sham Shui Po,"Un Yat House, Un Chau Estate",22.3366667,114.1561111
Wong Tai Sin,"Suet Fung House, Fung Tak Estate",22.344648,114.200004
Yuen Long,Ko Po Tsuen,22.44176,114.056859
Yau Tsim Mong,The Luxe Manor,22.3008333,114.1738889
Tuen Mun,Siu Lam Psychiatric Centre,22.3653913,114.0172087
Yau Tsim Mong,"Tower 1, The Victoria Towers",22.3020792,114.1683197
Yau Tsim Mong,"Tower 1, The Victoria Towers",22.3020792,114.1683197
Tsuen Wan,L'hotel Nina et Convention Centre,22.3687795,114.1126876
Yuen Long,"Yiu Tai House, Tin Yiu (II) Estate",22.4524892,114.0035956
Sai Kung,Pik Uk Prison,22.3393275,114.2446222
Tuen Mun,Castle Peak Bay Immigration Centre,22.3766954,113.9861436
Wan Chai,"Novotel Century Hong Kong, Wan Chai",22.2788043,114.176386
Wong Tai Sin,"Kai Fai House, Choi Wan (II) Estate",22.333413,114.217444
Tsuen Wan,Sam Wo Building,22.3714809,114.1180633
Sha Tin,Sheung Keng Hau Tsuen,22.363936,114.174372
Tsuen Wan,"Low Block, Shek Lan House, Shek Wai Kok Estate",22.375561,114.124212
Kwai Tsing,"Fu Pong House, Tai Wo Hau Estate",22.3689052,114.1237534
Kwun Tong,"Cheung Pak House, Hong Pak Court",22.303439,114.238438
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",22.337091,114.20501
Sai Kung,"Tower 5A, Phase 4B, Wings At Sea II, Lohas Park",22.2948541,114.2729928
Sha Tin,"Sun Fong House, Sun Chui Estate",22.3714238,114.1819743
Kwai Tsing,"Fu Pong House, Tai Wo Hau Estate",22.3689052,114.1237534
Kwai Tsing,"Fu Pong House, Tai Wo Hau Estate",22.3689052,114.1237534
Sha Tin,"Wai Sam House, Lung Hang Estate",22.365232,114.178305
Tuen Mun,"Mei Tai House, Fu Tai Estate",22.413018,113.9837095
Tuen Mun,"High Block, Ting Hong House, On Ting Estate",22.3870254,113.9767632
Tsuen Wan,"Silka Far East, Hong Kong",22.3710038,114.1193225
Wan Chai,"The Charterhouse, Causewaybay Hong Kong",22.277706,114.179136
Sha Tin,"Sun Fong House, Sun Chui Estate",22.3714238,114.1819743
Kwun Tong,"Sau Wong House, Sau Mau Ping South Estate",22.3165021,114.2343596
Sha Tin,"Wai Sam House, Lung Hang Estate",22.365232,114.178305
Tuen Mun,"King Lai House, Shan King Estate",22.4006109,113.9665177
Kwun Tong,"Sau Wong House, Sau Mau Ping South Estate",22.3165021,114.2343596
Yau Tsim Mong,15 Temple Street,22.3114366,114.1700754
Yuen Long,"Tsz Ping House, Tin Tsz Estate",22.4527343,114.0070338
Yau Tsim Mong,15 Temple Street,22.3114366,114.1700754
Sai Kung,"Block 5, Hong Sing Garden",22.3198992,114.2537934
Kwai Tsing,Dorsett Tsuen Wan,22.3706522,114.1294527
Sham Shui Po,"Tower 5, Phase 3, Banyan Garden",22.3339641,114.147242
Yau Tsim Mong,199 Tung Choi Street,22.323039,114.16963
Kowloon City,Hung Hom Municipal Services Building (non-residential),22.3073244,114.1873153
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),22.269562,114.182962
Kwun Tong,Millennium City 3 (non-residential),22.3134125,114.2220776
Tsuen Wan,OP Mall (non-residential),22.3680845,114.1106576
Kwun Tong,Tsui Ping (North) Shopping Circuit (non-residential),22.3165412,114.2296358
